stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
20802,Santa Fe Av & Nautilus St,33.212586,-117.390969,,20802,0,,1,N-S/B,,,Santa Fe&Nautilus
20806,Coast Hwy & Surfrider Way,33.199493,-117.382689,,20806,0,,1,N-S/B,,,Coast Hwy & Surfrider Way
20820,Country Club Ln & Division St,33.197610,-117.365258,,20820,0,,1,N-S/B,osdsnS,,Country Club&Division
20821,Coast Hwy & Whaley St,33.176905,-117.363731,,20821,0,,1,N-S/B,,,Coast Hwy & Whaley
20823,Coast Hwy & Vista Way,33.172211,-117.359784,,20823,0,,0,N-S/B,,,Coast Hwy & Vista Way
20827,Carlsbad Bl & Pine Ave,33.155908,-117.350965,,20827,0,,2,N-S/B,,,Clsbd&Pinee
20828,Mesa Dr & Hoover St,33.204180,-117.350332,,20828,0,,1,N-E/B,,,Mesa&Hoover
20829,Carlsbad Bl & Maple Ave,33.152392,-117.349205,,20829,0,,1,N-S/B,,,Clsbd&Maplee
20831,Mesa Dr & Parnassus Cir,33.206620,-117.347018,,20831,0,,2,N-N/B,,,Mesa & Parnassus Cir
20833,Mesa Dr & Cottingham St,33.209117,-117.344848,,20833,0,,2,N-E/B,,,Mesa&Cottingham
20837,Fireside St & Heritage St,33.225607,-117.338469,,20837,0,,1,N-S/B,,,Fireside&Heritage
20838,Carlsbad Bl & Tierra Del Oro St,33.133634,-117.336417,,20838,0,,1,N-S/B,carcan,,Clsbd&Tierra Del Oro
20844,Vista Bella & Vista Oceana,33.216932,-117.330432,,20844,0,,1,N-S/B,visoce,,Vista Bella&Vista Oceana
20846,El Camino Real & Camino Town,33.185664,-117.328287,,20846,0,,0,N-S/B,,,El Cmo Real & Cmo Town
20847,Monroe St & Chestnut Av,33.161901,-117.326649,,20847,0,,1,N-S/B,monchS,,Monroe&Chestnut
20848,El Camino Real & Marron Rd,33.178204,-117.326830,,20848,0,,1,N-S/B,,,El Cmo Real&Marron
20851,Avenida De Anita & Avenida De Louisa,33.175283,-117.322229,,20851,0,,1,N-E/B,,,Avda De Anita&Avda De Louisa
20852,Avenida De Anita & Via Naranja,33.174634,-117.321249,,20852,0,,2,N-S/B,,,Avda De Anita&Via Naranja
20853,Avenida De Anita & Via Esparto,33.172702,-117.320670,,20853,0,,2,F-S/B,,,Avda De Anita&Via Esparto
20858,Carlsbad Bl & La Costa Av,33.084424,-117.310990,,20858,0,,2,N-S/B,,,Clsbd&La Costa
20861,De Luz Rd & Pusan,33.327166,-117.312102,,20861,0,,2,F-S/B,,,De Luz&Pusan
20862,De Luz Rd & Marine Dr,33.323628,-117.310960,,20862,0,,1,N-S/B,,,De Luz&Marine
20863,De Luz Rd & Vandegrift Bl,33.321005,-117.310374,,20863,0,,2,N-S/B,,,De Luz&Vandegrift
20864,Vandegrift Bl & 16th St (Area 14),33.313802,-117.309996,,20864,0,,1,N-S/B,van16S,,Vandegrift&16th (Area 14)
20867,Highway 101 & El Portal St,33.056099,-117.298058,,20867,0,,1,F-S/B,,,Highway 101 & El Portal
20872,Hwy 101 & H St,33.040950,-117.293300,,20872,0,,1,N-S/B,,,Hwy 101 & H
20874,Hwy 101 & K St,33.036524,-117.292332,,20874,0,,1,F-S/B,,,Hwy 101 & K
20877,El Camino Real & Jackspar Dr,33.146616,-117.289981,,20877,0,,1,N-S/B,,,El Cmo Real&Jackspar
20878,Thunder Dr & Vista Way,33.185093,-117.288298,,20878,0,,1,N-S/B,thuviS,,Thunder&Vista Way
20879,Thunder Dr & Altura Dr,33.192117,-117.288266,,20879,0,,2,F-S/B,,,Thunder&Altura
20880,Hwy 101 & San Elijo State Beach,33.024760,-117.285977,,20880,0,,1,M-Street-S/B,,,Hwy 101 & San Elijoate Bch
20881,Saxony Rd & Ezee St,33.059495,-117.285489,,20881,0,,1,M-Street-S/B,,,Saxony & Ezee
20890,Emerald Dr & Candia Ct,33.201871,-117.279572,,20890,0,,2,N-S/B,,,Emerald&Candia
20891,Sunset Dr & Sky Haven Ln,33.184209,-117.279028,,20891,0,,2,N-S/B,,,Sunset&Sky Haven
20892,N Santa Fe Av & Alamosa Park Dr,33.242746,-117.278354,,20892,0,,2,F-S/B,,,N Santa Fe&Alamosa Park
20895,Hwy 101 & Estrella St,32.994948,-117.272562,,20895,0,,1,N-S/B,,,Hwy 101 & Estrella
